Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,MAD,GRU,Iberia Airlines (IB),Iberia Airlines,5202,10:54,,,,,345 342 346,,,,,,,
,,,Direct,1229,2564,2822,,,,,,,,,,,,
- -,MAD,GRU,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5202,10:54,,,,,330,,,,,,,
,,,Direct,1229,2564,4867,,,,,,,,,,,,
- -,MAD,GRU,LAN Airlines (LA),LAN Airlines,5202,10:54,,,,,330,,,,,,,
,,,Codeshare,1229,2564,3200,,,,,,,,,,,,
- -,MAD,GRU,Air Europa (UX),Air Europa,5202,10:54,,,,,332,,,,,,,
,,,Direct,1229,2564,90,,,,,,,,,,,,
- -,MAD,GRX,Iberia Airlines (IB),Iberia Airlines,227,0:57,,,,,CRK CR9 CR2,,,,,,,
,,,Codeshare,1229,1223,2822,,,,,,,,,,,,
- -,MAD,GUA,Iberia Airlines (IB),Iberia Airlines,5408,11:18,,,,,342,,,,,,,
,,,Direct,1229,1767,2822,,,,,,,,,,,,
- -,MAD,GVA,Air Berlin (AB),Air Berlin,627,1:45,,,,,319 320,,,,,,,
,,,Codeshare,1229,1665,214,,,,,,,,,,,,
- -,MAD,GVA,Iberia Airlines (IB),Iberia Airlines,627,1:45,,,,,319 320,,,,,,,
,,,Direct,1229,1665,2822,,,,,,,,,,,,
- -,MAD,GVA,Swiss International Air Lines (LX),Swiss International Air Lines,627,1:45,,,,,320 319,,,,,,,
,,,Direct,1229,1665,4559,,,,,,,,,,,,
- -,MAD,GVA,easyJet (U2),easyJet,627,1:45,,,,,319 320,,,,,,,
,,,Direct,1229,1665,2297,,,,,,,,,,,,
- -,MAD,GYE,Iberia Airlines (IB),Iberia Airlines,5597,11:41,,,,,763,,,,,,,
,,,Codeshare,1229,2673,2822,,,,,,,,,,,,
- -,MAD,GYE,LAN Airlines (LA),LAN Airlines,5597,11:41,,,,,320,,,,,,,
,,,Direct,1229,2673,3200,,,,,,,,,,,,
- -,MAD,HAM,Germanwings (4U),Germanwings,1105,2:42,,,,,CRJ,,,,,,,
,,,Direct,1229,342,2548,,,,,,,,,,,,
- -,MAD,HAV,Cubana de Aviación (CU),Cubana de Aviación,4634,9:46,,,,,IL9,,,,,,,
,,,Direct,1229,1909,1936,,,,,,,,,,,,
- -,MAD,HAV,Air Europa (UX),Air Europa,4634,9:46,,,,,332 333,,,,,,,
,,,Direct,1229,1909,90,,,,,,,,,,,,
- -,MAD,HEL,Finnair (AY),Finnair,1830,4:09,,,,,321,,,,,,,
,,,Direct,1229,421,2350,,,,,,,,,,,,
- -,MAD,HEL,Iberia Airlines (IB),Iberia Airlines,1830,4:09,,,,,321,,,,,,,
,,,Codeshare,1229,421,2822,,,,,,,,,,,,
- -,MAD,IBZ,Alitalia (AZ),Alitalia,284,1:04,,,,,738 E90,,,,,,,
,,,Codeshare,1229,1225,596,,,,,,,,,,,,
- -,MAD,IBZ,Ryanair (FR),Ryanair,284,1:04,,,,,738,,,,,,,
,,,Direct,1229,1225,4296,,,,,,,,,,,,
- -,MAD,IBZ,Iberia Airlines (IB),Iberia Airlines,284,1:04,,,,,CRK CR9 CR2,,,,,,,
,,,Codeshare,1229,1225,2822,,,,,,,,,,,,
- -,MAD,IBZ,Air Europa (UX),Air Europa,284,1:04,,,,,E90 738,,,,,,,
