alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.800     0.000   0.515777   0.007345   0.006241   0.013586   0.000000  -0.000000  -0.257219  -0.000000  -0.000000  141.0000     1.0458
    0.900     0.000   0.525238   0.007615   0.006287   0.013902   0.000000  -0.000000  -0.259872  -0.000000  -0.000000  141.0000     1.0372
    1.000     0.000   0.534703   0.007892   0.006332   0.014224   0.000000  -0.000000  -0.262544   0.000000  -0.000000  141.0000     1.0288
    1.100     0.000   0.543985   0.008171   0.006393   0.014564   0.000000  -0.000000  -0.265144  -0.000000  -0.000000  141.0000     1.0206
    1.200     0.000   0.553547   0.008461   0.006429   0.014890   0.000000  -0.000000  -0.267867  -0.000000  -0.000000  141.0000     1.0128
    1.300     0.000   0.562924   0.008752   0.006479   0.015231   0.000000  -0.000000  -0.270534  -0.000000  -0.000000  141.0000     1.0052
    1.400     0.000   0.572180   0.009045   0.006534   0.015579   0.000000  -0.000000  -0.273154  -0.000000  -0.000000  141.0000     0.9980
    1.500     0.000   0.581447   0.009343   0.006586   0.015929   0.000000  -0.000000  -0.275772  -0.000000  -0.000000  141.0000     0.9909
    1.600     0.000   0.590526   0.009641   0.006654   0.016295   0.000000  -0.000000  -0.278302  -0.000000  -0.000000  141.0000     0.9841
    1.700     0.000   0.599598   0.009949   0.006718   0.016668   0.000000  -0.000000  -0.280833  -0.000000  -0.000000  141.0000     0.9776
    1.800     0.000   0.608512   0.010246   0.006812   0.017057   0.000000   0.000000  -0.283284  -0.000000  -0.000000  141.0000     0.9711
    1.900     0.000   0.616639   0.010534   0.006971   0.017505   0.000000  -0.000000  -0.285390  -0.000000  -0.000000  141.0000     0.9649
    2.000     0.000   0.625005   0.010828   0.007106   0.017934   0.000000  -0.000000  -0.287585  -0.000000  -0.000000  141.0000     0.9588
    2.100     0.000   0.634096   0.011135   0.007186   0.018321   0.000000  -0.000000  -0.290061  -0.000000  -0.000000  141.0000     0.9527
