   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.600     0.000   0.377359   0.004278   0.004895   0.009173   0.000000  -0.000000  -0.214827   0.000000   0.000000  141.0000     1.1970
   -0.500     0.000   0.386784   0.004499   0.004900   0.009399   0.000000  -0.000000  -0.217487   0.000000   0.000000  141.0000     1.1818
   -0.400     0.000   0.396301   0.004723   0.004905   0.009629   0.000000  -0.000000  -0.220173   0.000000   0.000000  141.0000     1.1674
   -0.300     0.000   0.405871   0.004956   0.004907   0.009862   0.000000  -0.000000  -0.222879   0.000000   0.000000  141.0000     1.1534
   -0.200     0.000   0.415493   0.005195   0.004905   0.010100   0.000000  -0.000000  -0.225603   0.000000   0.000000  141.0000     1.1400
   -0.100     0.000   0.425178   0.005440   0.004901   0.010341   0.000000  -0.000000  -0.228348   0.000000  -0.000000  141.0000     1.1271
    0.000     0.000   0.434913   0.005693   0.004895   0.010588   0.000000  -0.000000  -0.231111   0.000000   0.000000  141.0000     1.1148
    0.100     0.000   0.444655   0.005954   0.004879   0.010833   0.000000  -0.000000  -0.233891   0.000000   0.000000  141.0000     1.1031
    0.200     0.000   0.454452   0.006219   0.004854   0.011073   0.000000  -0.000000  -0.236706   0.000000   0.000000  141.0000     1.0919
    0.300     0.000   0.464281   0.006489   0.004831   0.011320   0.000000  -0.000000  -0.239525   0.000000   0.000000  141.0000     1.0811
    0.400     0.000   0.474039   0.006768   0.004815   0.011583   0.000000  -0.000000  -0.242311   0.000000   0.000000  141.0000     1.0709
    0.500     0.000   0.483741   0.007050   0.004806   0.011856   0.000000  -0.000000  -0.245072   0.000000   0.000000  141.0000     1.0610
    0.600     0.000   0.493061   0.007331   0.004826   0.012157   0.000000  -0.000000  -0.247677   0.000000   0.000000  141.0000     1.0516
    0.700     0.000   0.502256   0.007613   0.004857   0.012471   0.000000  -0.000000  -0.250226  -0.000000  -0.000000  141.0000     1.0426
    0.800     0.000   0.511563   0.007902   0.004885   0.012787   0.000000  -0.000000  -0.252811   0.000000   0.000000  141.0000     1.0339
    0.900     0.000   0.520588   0.008189   0.004942   0.013131   0.000000  -0.000000  -0.255267   0.000000   0.000000  141.0000     1.0255
    1.000     0.000   0.529322   0.008473   0.005029   0.013502   0.000000  -0.000000  -0.257585   0.000000   0.000000  141.0000     1.0174
    1.100     0.000   0.538073   0.008765   0.005110   0.013876   0.000000   0.000000  -0.259913   0.000000   0.000000  141.0000     1.0096
    1.200     0.000   0.546702   0.009054   0.005209   0.014263   0.000000  -0.000000  -0.262174   0.000000  -0.000000  141.0000     1.0019
    1.300     0.000   0.555109   0.009348   0.005322   0.014670   0.000000  -0.000000  -0.264341   0.000000   0.000000  141.0000     0.9946
    1.400     0.000   0.563768   0.009650   0.005415   0.015065   0.000000  -0.000000  -0.266612   0.000000   0.000000  141.0000     0.9874
    1.500     0.000   0.571864   0.009940   0.005555   0.015495   0.000000  -0.000000  -0.268631   0.000000   0.000000  141.0000     0.9805
